node_id,lat,lon,alt
mostin,42.59472,0.53916997,1540.0391
ESPVA0300000003789A,38.805824,-0.15999997,394.04297
ESIBA0700000207816A,39.038334,1.3830559,180.17578
ESPVA1200000012500A,40.47694,0.47333294,13.671875
escolagarbibada,41.475433,2.252481,140.13672
ESPVA4600000046360A,39.417774,-0.79138887,365.72266
ESCAT2500000025527A,42.50472,0.8011109,1089.8438
jasusa,39.662617,-0.43130392,242.67578
anteva2,38.005608,-1.0287759,29.785156
ESCAT0800000008317A,41.555,2.3547218,259.76562
ESCAT0800000008460C,41.68806,2.440556,208.4961
ESIBA0700000107620A,39.488335,2.895,138.1836
meteocullera,39.162586,-0.24621198,2.9296875
ESCAT0800000008450A,41.642498,2.4058328,185.0586
ESCAT0800000008180A,41.81222,2.1019437,705.0781
linsolescynp,42.608578,0.5218,1140.1367
alcala2013,40.36013,-0.6980099,1410.6445
juanfrancisco,38.762897,0.14529799,49.804688
ESCAT0800000008160A,41.55833,2.249167,111.81641
ESCAT0800000008184A,41.57777,2.1855557,210.44922
ESCAT0800000008226A,41.5725,2.0213888,321.77734
ESCAT1700000017830A,42.1275,2.6397219,285.64453
48MP,42.72361,1.8897218,1083.0078
laspaulescynp,42.473698,0.5976129,1450.1953
meteoescorial,41.9008,2.300948,560.0586
ESPVA0300000003803A,38.715275,-0.49833292,553.22266
ESIBA0700000107340A,39.69722,2.7961109,200.19531
ESIBA0700000107430A,39.684998,3.0,77.14844
uteonda,40.000362,-0.20040897,191.89453
rosa,39.705425,3.3217268,189.9414
ESCAT1700000017534B,42.311108,2.177778,984.8633
ESCAT1700000017184A,41.908607,2.7433329,145.9961
ESCAT1700000017150A,41.99055,2.7597218,111.81641
comercialoli,42.245102,3.1150684,7.8125
moia,41.813976,2.0966787,716.7969
gabri,41.55005,1.9501052,299.3164
darrera,41.377747,2.086521,114.74609
meteouse32,41.338924,1.9951769,189.9414
baltasarsegu,41.281982,1.2467368,214.84375
puigcerda001,42.432304,1.92972,1199.707
meteoseklevante,39.43432,-0.561493,149.90234
gmartorell,39.704617,2.7900648,251.46484
majorica,39.57266,3.1879597,127.92969
curro,42.370155,1.779001,1061.5234
ESPVA0300000003300D,38.079998,-0.9461109,50.29297
lalfasdelpi,38.579586,-0.101809986,87.890625
ESCAT0800000008770A,41.431946,1.785556,190.91797
ESCAT4300000043206B,41.166393,1.106944,153.8086
peramea,42.312138,1.0546359,720.21484
ESIBA0700000107180A,39.527496,2.5044436,27.832031
meteovall,39.06982,-0.27101198,24.902344
setsaas,37.975178,-0.6805519,4.3945312
jbardajiz,42.029808,0.11857198,340.8203
lamoltonacat,42.30944,3.0173259,38.085938
devision,39.58796,-0.33765498,32.226562
mrcadaques,42.28699,3.2877347,15.625
ESPVA0300000003570A,38.524445,-0.22166699,68.84766
arta2,39.693275,3.3007848,189.9414
